,beds_genandacute_noncovid,ventbeds_noncovid,address,Date,Local Health Board,coordinates,lat,lon
940,639,3,"Abercynon, Rhondda Cynon Taff CF45 4SN, Wales",11-May-20,Cwm Taf Morgannwg University Local Health Board,"[51.64576365, -3.32393760900226]",51.64576365,-3.32393760900226
941,651,4,"Abercynon, Rhondda Cynon Taff CF45 4SN, Wales",12-May-20,Cwm Taf Morgannwg University Local Health Board,"[51.64576365, -3.32393760900226]",51.64576365,-3.32393760900226
942,638,4,"Abercynon, Rhondda Cynon Taff CF45 4SN, Wales",13-May-20,Cwm Taf Morgannwg University Local Health Board,"[51.64576365, -3.32393760900226]",51.64576365,-3.32393760900226
943,645,5,"Abercynon, Rhondda Cynon Taff CF45 4SN, Wales",14-May-20,Cwm Taf Morgannwg University Local Health Board,"[51.64576365, -3.32393760900226]",51.64576365,-3.32393760900226
944,644,4,"Abercynon, Rhondda Cynon Taff CF45 4SN, Wales",15-May-20,Cwm Taf Morgannwg University Local Health Board,"[51.64576365, -3.32393760900226]",51.64576365,-3.32393760900226
945,666,9,"Abercynon, Rhondda Cynon Taff CF45 4SN, Wales",16-May-20,Cwm Taf Morgannwg University Local Health Board,"[51.64576365, -3.32393760900226]",51.64576365,-3.32393760900226
946,685,11,"Abercynon, Rhondda Cynon Taff CF45 4SN, Wales",17-May-20,Cwm Taf Morgannwg University Local Health Board,"[51.64576365, -3.32393760900226]",51.64576365,-3.32393760900226
947,699,7,"Abercynon, Rhondda Cynon Taff CF45 4SN, Wales",18-May-20,Cwm Taf Morgannwg University Local Health Board,"[51.64576365, -3.32393760900226]",51.64576365,-3.32393760900226
948,671,9,"Abercynon, Rhondda Cynon Taff CF45 4SN, Wales",19-May-20,Cwm Taf Morgannwg University Local Health Board,"[51.64576365, -3.32393760900226]",51.64576365,-3.32393760900226
949,661,13,"Abercynon, Rhondda Cynon Taff CF45 4SN, Wales",20-May-20,Cwm Taf Morgannwg University Local Health Board,"[51.64576365, -3.32393760900226]",51.64576365,-3.32393760900226
950,678,10,"Abercynon, Rhondda Cynon Taff CF45 4SN, Wales",21-May-20,Cwm Taf Morgannwg University Local Health Board,"[51.64576365, -3.32393760900226]",51.64576365,-3.32393760900226
951,662,13,"Abercynon, Rhondda Cynon Taff CF45 4SN, Wales",22-May-20,Cwm Taf Morgannwg University Local Health Board,"[51.64576365, -3.32393760900226]",51.64576365,-3.32393760900226
952,674,14,"Abercynon, Rhondda Cynon Taff CF45 4SN, Wales",23-May-20,Cwm Taf Morgannwg University Local Health Board,"[51.64576365, -3.32393760900226]",51.64576365,-3.32393760900226
953,696,13,"Abercynon, Rhondda Cynon Taff CF45 4SN, Wales",24-May-20,Cwm Taf Morgannwg University Local Health Board,"[51.64576365, -3.32393760900226]",51.64576365,-3.32393760900226
